Parameter,Value,Description
result_name,bond_em_ledoit_wolf,Folder name used for this saved output run.
asset_count,17,Number of assets in the aligned investable universe.
risk_aversion_lambda,2.5,Used consistently for implied returns and optimization.
black_litterman_tau,0.05,Conservative BL prior uncertainty setting.
covariance_method,sklearn_ledoit_wolf,Covariance estimator used for this output run.
covariance_window_months,60,Trailing monthly returns used for annual covariance estimation.
lookback_signal_months,12,Trailing months used to adapt weak view strength.
active_weight_bound_each_asset,0.02,Maximum active deviation from benchmark for each asset; 2% is stricter than the 5% assignment limit.
rebalance_frequency,Annual target weights; monthly realized backtest returns,Portfolio weights are formed annually and applied to subsequent monthly returns.
final_year_diagnostics_date,2024-06-28 00:00:00,"Formation date used for final covariance, volatility, and correlation diagnostics."
ledoit_wolf_mean_shrinkage,0.07717780717540162,Average shrinkage intensity estimated by sklearn LedoitWolf across annual formation dates.
ledoit_wolf_min_shrinkage,0.05260303784063547,Minimum shrinkage intensity estimated by sklearn LedoitWolf across annual formation dates.
ledoit_wolf_max_shrinkage,0.13316153287123283,Maximum shrinkage intensity estimated by sklearn LedoitWolf across annual formation dates.
